array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
257765_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23020	pentatricopeptide (PPR) repeat-containing protein	3	8177225	8177806
257766_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23030	IAA2 (indoleacetic acid-induced protein 2); transcription factor	3	8181096	8181681
257767_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23040	unknown protein	3	8186102	8186896
257768_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23060	zinc finger (C3HC4-type RING finger) family protein	3	8202273	8203100
257769_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23050	IAA7 (AUXIN RESISTANT 2); transcription factor	3	8194929	8196693
257770_at	oligonucleotide	Arabidopsis thaliana	no	AT3G22990	binding	3	8165310	8166046
257771_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23000	CIPK7 (CBL-INTERACTING PROTEIN KINASE 7); kinase	3	8173433	8173939
257772_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23080	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14500.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71306.1); contains InterPro domain Lipid-binding START (InterPro:IPR002913)	3	8207621	8208377
257773_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29185	similar to hypothetical protein MtrDRAFT_AC147482g2v2 [Medicago truncatula] (GB:ABD32485.1)	3	11156352	11157034
257774_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29250	oxidoreductase	3	11195006	11195505
257775_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29260	short-chain dehydrogenase/reductase (SDR) family protein	3	11217212	11217702
257776_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29190	lyase/ magnesium ion binding	3	11160610	11162424
257777_x_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29210	transposable element gene	3	11180303	11181172
257778_at	oligonucleotide	Arabidopsis thaliana	no	AT3G29220	transposable element gene	3	11186924	11187506
257779_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26940	CDG1 (CONSTITUTIVE DIFFERENTIAL GROWTH 1); kinase	3	9937957	9938951
257780_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27100	similar to unknown [Picea sitchensis] (GB:ABK23311.1)	3	9995982	9997073
257781_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27120	ATPase	3	10001541	10002726
257782_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27120;AT3G27130	[AT3G27120, ATPase];[AT3G27130, similar to ATPase [Arabidopsis thaliana] (TAIR:AT3G27120.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49003.1)]	[AT3G27120, 3];[AT3G27130, 3]	[AT3G27120, 10003921];[AT3G27130, 10003921]	[AT3G27120, 10004527];[AT3G27130, 10004738]
257783_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26950	binding	3	9942471	9943050
257784_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26980	MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR)	3	9947720	9948015
257785_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26980	MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR)	3	9948553	9948679
257786_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26990	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G10060.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49056.1); contains InterPro domain ENTH/VHS (InterPro:IPR008942); contains InterPro domain Protein of unknown function DUF618 (InterPro:IPR006903); contains InterPro domain Regulation of nuclear pre-mRNA protein (InterPro:IPR006569)	3	9949674	9950248
257787_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27000	ARP2 (ACTIN RELATED PROTEIN 2); structural constituent of cytoskeleton	3	9954211	9955675
257788_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27010	AT-TCP20 (ARABIDOPSIS THALIANA TEOSINTE BRANCHED 1, CYCLOIDEA, PCF (TCP)-DOMAIN FAMILY PROTEIN 20); transcription factor	3	9959126	9959639
257789_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27020	YSL6 (YELLOW STRIPE LIKE 6); oligopeptide transporter	3	9962869	9963386
257790_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27090	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42050.1); similar to hypothetical protein [Citrus x paradisi] (GB:CAA04664.1); contains InterPro domain Kelch related (InterPro:IPR013089); contains InterPro domain Development and cell death (InterPro:IPR013989)	3	9991695	9992604
257791_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27110	peptidase M48 family protein	3	10000062	10001026
257792_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27080	TOM20-3 (TRANSLOCASE OF OUTER MEMBRANE 20 KDA SUBUNIT 3); P-P-bond-hydrolysis-driven protein transmembrane transporter	3	9986459	9987552
257793_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26960	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G41050.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49052.1)	3	9946105	9946675
257794_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27050	similar to unnamed protein product [Vitis vinifera] (GB:CAO49017.1)	3	9979528	9980828
257795_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15910	unknown protein	3	5382437	5383057
257796_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15930	pentatricopeptide (PPR) repeat-containing protein	3	5389059	5389667
257797_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15940	glycosyl transferase family 1 protein	3	5393735	5394408
257798_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15950	(TSA1-LIKE); protein binding	3	5397912	5398323
257799_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15890	protein kinase family protein	3	5375552	5376040
257800_at	oligonucleotide	Arabidopsis thaliana	no	AT3G15900	similar to unknown [Populus trichocarpa] (GB:ABK95820.1)	3	5376412	5376964
257801_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18750	WNK6 (Arabidopsis WNK kinase 6); kinase	3	6454504	6454995
257802_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18770	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49590.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49590.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO46479.1)	3	6460043	6461073
257803_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18790	similar to hypothetical protein [Vitis vinifera] (GB:CAN60270.1); contains InterPro domain Isy1-like splicing (InterPro:IPR009360)	3	6478204	6478746
257804_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18810	protein kinase family protein	3	6480777	6481430
257805_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18830	ATPLT5 (POLYOL TRANSPORTER 5); D-ribose transmembrane transporter/ D-xylose transmembrane transporter/ carbohydrate transmembrane transporter/ galactose transmembrane transporter/ glucose transmembrane transporter/ glycerol transmembrane transporter/ hydr	3	6489059	6489596
257806_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18670	ankyrin repeat family protein	3	6424170	6424623
257807_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26650	GAPA (GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT); glyceraldehyde-3-phosphate dehydrogenase	3	9797442	9797974
257808_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26935	zinc finger (DHHC type) family protein	3	9934520	9935209
257809_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27060	TSO2 (TSO MEANING 'UGLY' IN CHINESE); ribonucleoside-diphosphate reductase	3	9981225	9981885
257810_at	oligonucleotide	Arabidopsis thaliana	no	AT3G27070	TOM20-1 (TRANSLOCASE OUTER MEMBRANE 20-1)	3	9984427	9985275
257811_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25280	proton-dependent oligopeptide transport (POT) family protein	3	9208696	9209232
257812_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25090	F-box family protein-related	3	9140122	9140654
257813_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25100	CDC45 (CELL DIVISION CYCLE 45)	3	9145497	9146066
257814_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25110	ATFATA (ARABIDOPSIS FATA ACYL-ACP THIOESTERASE); acyl carrier/ acyl-ACP thioesterase	3	9146623	9147542
257815_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25130	similar to unnamed protein product [Vitis vinifera] (GB:CAO15235.1)	3	9153070	9153627
257816_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25140	GAUT8/QUA1 (GALACTURONOSYLTRANSFERASE 8, QUASIMODO1); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	3	9156106	9156649
257817_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25150	nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein	3	9157189	9158056
257818_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25120	mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	3	9149809	9151043
257819_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25165	RALFL25 (RALF-LIKE 25)	3	9163629	9163810
257820_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25220	FKBP15-1 (FK506-binding protein 15 kD-1); FK506 binding / peptidyl-prolyl cis-trans isomerase	3	9183954	9185684
257821_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25170	RALFL26 (RALF-LIKE 26)	3	9165982	9166191
257822_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25230	ROF1 (ROTAMASE FKBP 1); FK506 binding / calmodulin binding / peptidyl-prolyl cis-trans isomerase	3	9191283	9192032
257823_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25190	nodulin, putative	3	9175846	9176835
257824_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25290	auxin-responsive family protein	3	9210791	9211546
257825_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26700	protein kinase family protein	3	9812766	9813725
257826_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26730	zinc finger (C3HC4-type RING finger) family protein	3	9827497	9828506
257827_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26630	pentatricopeptide (PPR) repeat-containing protein	3	9792841	9793408
257828_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26670	similar to permease-related [Arabidopsis thaliana] (TAIR:AT3G23870.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49131.1); contains InterPro domain Protein of unknown function DUF803 (InterPro:IPR008521)	3	9799473	9800349
257829_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26680	SNM1 (SENSITIVE TO NITROGEN MUSTARD 1)	3	9803584	9804719
257830_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26690	ATNUDT13 (ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 13); hydrolase	3	9805658	9806616
257831_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26710	similar to unnamed protein product [Vitis vinifera] (GB:CAO49107.1)	3	9815011	9815656
257832_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26740	CCL (CCR-LIKE)	3	9829109	9829660
257833_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26640	transducin family protein / WD-40 repeat family protein	3	9795008	9795550
257834_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26720	glycosyl hydrolase family 38 protein	3	9822727	9824219
257835_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25180	CYP82G1 (cytochrome P450, family 82, subfamily G, polypeptide 1); oxygen binding	3	9167457	9168140
257836_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
257837_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25200	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G53240.1)	3	9178174	9179399
257838_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25210	pentatricopeptide (PPR) repeat-containing protein	3	9182133	9182670
257839_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25080	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G02770.1); contains InterPro domain Protein of unknown function DUF626, Arabidopsis thaliana (InterPro:IPR006462)	3	9137060	9137876
257840_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25250	AGC2-1 (OXIDATIVE SIGNAL-INDUCIBLE1); kinase	3	9197588	9198046
257841_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25260	proton-dependent oligopeptide transport (POT) family protein	3	9202409	9202934
257842_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28390	PGP18 (P-GLYCOPROTEIN 18); ATPase, coupled to transmembrane movement of substances	3	10630671	10631255
257843_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28400	transposable element gene	3	10637263	10638135
257844_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28480	oxidoreductase, 2OG-Fe(II) oxygenase family protein	3	10677503	10678458
257845_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28430	similar to unnamed protein product [Vitis vinifera] (GB:CAO69571.1); similar to Os04g0298600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052403.1); contains domain PTHR21481 (PTHR21481)	3	10658766	10659625
257846_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12910	transcription factor	3	4110064	4110624
257847_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13020	hAT dimerisation domain-containing protein	3	4167024	4167570
257848_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13030	hAT dimerisation domain-containing protein	3	4169769	4170334
257849_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13060	ECT5	3	4182903	4183628
257850_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13065	SRF4 (STRUBBELIG-RECEPTOR FAMILY 4); ATP binding / kinase/ protein serine/threonine kinase	3	4189819	4190608
257851_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12940	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G19895.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23819.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69107.1); contains domain SSF51197 (SSF51197)	3	4130354	4131042
257852_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12950	catalytic	3	4132805	4133496
257853_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12960	similar to seed maturation protein [Glycine tomentella] (GB:ABB72392.1)	3	4136568	4136811
257854_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12980	ATHPCAT4/HAC5 (HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY 5); H3/H4 histone acetyltransferase/ histone acetyltransferase	3	4153633	4154271
257855_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13040	myb family transcription factor	3	4172449	4173498
257856_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12930	similar to unknown [Populus trichocarpa] (GB:ABK94112.1); contains InterPro domain Iojap-related protein (InterPro:IPR004394)	3	4128599	4129609
257857_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G60500;AT3G12990	[AT3G60500, CER7 (ECERIFERUM 7); 3'-5'-exoribonuclease/ RNA binding];[AT3G12990, RRP45A (RIBONUCLEASE PH45A); 3'-5'-exoribonuclease/ RNA binding]	[AT3G60500, 3];[AT3G12990, 3]	[AT3G60500, 22365790];[AT3G12990, 4156824]	[AT3G60500, 22366602];[AT3G12990, 4157610]
257858_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12920	protein binding / zinc ion binding	3	4122135	4122515
257859_at	oligonucleotide	Arabidopsis thaliana	no	AT3G12955	auxin-responsive protein-related	3	4135727	4136039
257860_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13062	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55960.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41766.1); contains InterPro domain Lipid-binding START (InterPro:IPR002913)	3	4185940	4186794
257861_at	oligonucleotide	Arabidopsis thaliana	no	AT3G13050	transporter-related	3	4178185	4178859
257862_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17760;AT3G17720	[AT3G17760, GAD5 (GLUTAMATE DECARBOXYLASE 5); calmodulin binding];[AT3G17720, pyridoxal-dependent decarboxylase family protein]	[AT3G17760, 3];[AT3G17720, 3]	[AT3G17760, 6079946];[AT3G17720, 6062895]	[AT3G17760, 6080366];[AT3G17720, 6063305]
257863_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17730	ANAC057 (Arabidopsis NAC domain containing protein 57); transcription factor	3	6064530	6065808
257864_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17740	similar to hypothetical protein OsJ_008259 [Oryza sativa (japonica cultivar-group)] (GB:EAZ24776.1); similar to hypothetical protein OsI_008933 [Oryza sativa (indica cultivar-group)] (GB:EAY87700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO72013.1); contains InterPro domain Protein of unknown function DUF1740 (InterPro:IPR013633)	3	6068099	6068816
257865_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17750	protein kinase family protein	3	6077614	6078423
257866_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17770	dihydroxyacetone kinase family protein	3	6082014	6082762
257867_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17780	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48440.1); similar to unknown [Populus trichocarpa] (GB:ABK93075.1)	3	6087038	6088100
257868_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25070	RIN4 (RPM1 INTERACTING PROTEIN 4); protein binding	3	9132988	9133595
257869_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25160	ER lumen protein retaining receptor family protein	3	9160501	9161808
257870_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28490	oxidoreductase, 2OG-Fe(II) oxygenase family protein	3	10680840	10681844
257871_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28350	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28370.1); similar to hypothetical protein OsI_021564 [Oryza sativa (indica cultivar-group)] (GB:EAZ00332.1)	3	10610524	10611875
257872_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28360	PGP16 (P-GLYCOPROTEIN 16); ATPase, coupled to transmembrane movement of substances	3	10612348	10612802
257873_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28380	PGP17 (P-GLYCOPROTEIN 17); ATP binding / ATPase/ ATPase, coupled to transmembrane movement of substances / nucleoside-triphosphatase/ nucleotide binding	3	10624984	10625576
257874_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17110	pseudogene, glycine-rich protein	3	5837981	5838501
257875_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17120	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01960.1); similar to hypothetical protein MtrDRAFT_AC173289g6v1 [Medicago truncatula] (GB:ABN09095.1)	3	5842496	5843110
257876_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17130	invertase/pectin methylesterase inhibitor family protein	3	5844523	5844974
257877_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17140	invertase inhibitor-related	3	5846008	5846593
257878_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
257879_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17160	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G47970.1)	3	5852258	5852858
257880_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16910	AAE7/ACN1 (ACYL-ACTIVATING ENZYME 7); AMP binding / acetate-CoA ligase	3	5773321	5773821
257881_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17180	SCPL33 (serine carboxypeptidase-like 33); serine carboxypeptidase	3	5855909	5857286
257882_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16930	unknown protein	3	5778915	5779369
257883_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16940	calmodulin-binding protein	3	5785138	5785985
257884_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16960	similar to self-incompatibility protein-related [Arabidopsis thaliana] (TAIR:AT3G16970.1); contains InterPro domain Plant self-incompatibility S1 (InterPro:IPR010264)	3	5791824	5792267
257885_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16970	self-incompatibility protein-related	3	5793678	5794087
257886_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17060	pectinesterase family protein	3	5816967	5817702
257887_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17090	protein phosphatase 2C family protein / PP2C family protein	3	5828097	5829324
257888_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16990	TENA/THI-4 family protein	3	5795957	5796715
257889_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17080	self-incompatibility protein-related	3	5825348	5825744
257890_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G42570;AT3G17070	[AT3G42570, peroxidase-related];[AT3G17070, peroxidase, putative]	[AT3G42570, 3];[AT3G17070, 3]	[AT3G42570, 14701084];[AT3G17070, 5822450]	[AT3G42570, 14701232];[AT3G17070, 5822598]
257891_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17170	RFC3 (REGULATOR OF FATTY-ACID COMPOSITION 3); structural constituent of ribosome	3	5853311	5854315
257892_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17020	universal stress protein (USP) family protein	3	5802743	5804006
257893_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17000	UBC32 (UBIQUITIN-CONJUGATING ENZYME 32); ubiquitin-protein ligase	3	5798362	5799413
257894_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17100	transcription factor	3	5831675	5832183
257895_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16950	LPD1 (LIPOAMIDE DEHYDROGENASE 1)	3	5786958	5787955
257896_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16920	chitinase	3	5776730	5777442
257897_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18030	ATHAL3A (Arabidopsis thaliana Hal3-like protein A)	3	6167908	6168576
257898_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G45082;AT1G40125;AT3G30670;AT1G35600;AT4G03910;AT3G32677	[AT5G45082, transposable element gene];[AT1G40125, transposable element gene];[AT3G30670, transposable element gene];[AT1G35600, transposable element gene];[AT4G03910, transposable element gene];[AT3G32677, transposable element gene]	[AT5G45082, 5];[AT1G40125, 1];[AT3G30670, 3];[AT1G35600, 1];[AT4G03910, 4];[AT3G32677, 3]	[AT5G45082, 18213772];[AT1G40125, 15217276];[AT3G30670, 12229658];[AT1G35600, 13136780];[AT4G03910, 1843692];[AT3G32677, 13406320]	[AT5G45082, 18213835];[AT1G40125, 15217339];[AT3G30670, 12229721];[AT1G35600, 13136843];[AT4G03910, 1843755];[AT3G32677, 13406383]
257899_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28345	ABC transporter family protein	3	10597172	10597646
257900_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28420	contains domain PROKAR_LIPOPROTEIN (PS51257)	3	10655934	10656508
257901_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
257902_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28450	leucine-rich repeat transmembrane protein kinase, putative	3	10669829	10670395
257903_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28460	similar to hypothetical protein [Vitis vinifera] (GB:CAN74970.1); contains InterPro domain Protein of unknown function methylase putative (InterPro:IPR016065)	3	10673948	10674870
257904_at	oligonucleotide	Arabidopsis thaliana	no	AT3G28470	AtMYB35 (myb domain protein 35); DNA binding / transcription factor	3	10675831	10676322
257905_at	oligonucleotide	Arabidopsis thaliana	no	no_match	no_match	no_match	no_match	no_match
257906_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25520	ATL5 (A. THALIANA RIBOSOMAL PROTEIN L5); structural constituent of ribosome	3	9271010	9271694
257907_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25470	bacterial hemolysin-related	3	9235227	9236230
257908_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25410	bile acid:sodium symporter family protein	3	9215802	9216499
257909_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25480	rhodanese-like domain-containing protein	3	9236833	9237639
257910_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25580	thioredoxin-related	3	9293908	9295310
257911_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25530	ATGHBDH/GHBDH; 3-hydroxybutyrate dehydrogenase/ phosphogluconate dehydrogenase (decarboxylating)	3	9273187	9274057
257912_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25500	AFH1 (FORMIN HOMOLOGY 1); actin binding	3	9252639	9253121
257913_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25540	LAG1 (Longevity assurance gene 1)	3	9276733	9277305
257914_at	oligonucleotide	Arabidopsis thaliana	no	AT3G25545	similar to unknown [Populus trichocarpa] (GB:ABK95265.1)	3	9279080	9279536
257915_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23130	SUP (SUPERMAN); DNA binding / nucleic acid binding / transcription factor/ zinc ion binding	3	8242534	8243122
257916_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23210	basic helix-loop-helix (bHLH) family protein	3	8283266	8284349
257917_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23220	DNA binding / transcription factor	3	8288018	8288393
257918_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23230	ethylene-responsive factor, putative	3	8289808	8290061
257919_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23250	AtMYB15/AtY19/MYB15 (myb domain protein 15); DNA binding / transcription factor	3	8310087	8310627
257920_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23260	F-box family protein	3	8313881	8314427
257921_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23270	regulator of chromosome condensation (RCC1) family protein	3	8319692	8320315
257922_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23150	ETR2 (ETHYLENE RESPONSE 2); receptor	3	8257041	8257567
257923_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23160	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G04550.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71334.1); contains InterPro domain Protein of unknown function DUF668 (InterPro:IPR007700)	3	8260067	8260610
257924_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23190	lesion inducing protein-related	3	8279547	8280641
257925_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23170	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14450.1)	3	8268288	8268579
257926_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23280	zinc finger (C3HC4-type RING finger) family protein / ankyrin repeat family protein	3	8323622	8324077
257927_at	oligonucleotide	Arabidopsis thaliana	no	AT3G23240	ATERF1/ERF1 (ETHYLENE RESPONSE FACTOR 1); DNA binding / transcription activator/ transcription factor	3	8295798	8296350
257928_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16890	pentatricopeptide (PPR) repeat-containing protein	3	5768407	5769006
257929_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16980	DNA-directed RNA polymerase II, putative	3	5794817	5795702
257930_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17010	transcriptional factor B3 family protein	3	5801535	5802274
257931_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17030	similar to unnamed protein product [Vitis vinifera] (GB:CAO44908.1); contains InterPro domain Nucleic acid-binding, OB-fold-like (InterPro:IPR016027)	3	5804521	5805522
257932_at	oligonucleotide	Arabidopsis thaliana	no	AT3G17040	HCF107 (HIGH CHLOROPHYLL FLUORESCENT 107); binding	3	5809456	5810208
